Name,Age,Gender,Height,Occupation,Hobbies,Pets,Favorite Music Genre,Favorite Band or Artist,Preferred Movie/TV Genre,Physical Activity Frequency,Preferred Physical Activity,Vacation Type,Vacation Activities,Bucket List,Vices,Preferred Partner Gender,Preferred Physical Attributes,Preferred Age Range,Preferred Activity Level,Pet Friendly Importance,Child Friendly Importance,Deal Breakers
Rebekah Hayes,21,Male,200+ cm,IT Professional,"Gaming, Hiking, Music/Art, Playing musical instruments, Reading",Yes – Cat(s),Rock,Christopher Myers,Science Fiction/Fantasy,Occasionally (once a week or less),"Yoga/Pilates, I don't do any physical activities","Countryside, Adventure travel","Hiking/Outdoor adventures, Swimming/Water sports","Traveling to a new continent, Learning a new language","Prefer not to say, Gambling",Male,"Tall, No strong preference",26–35,Highly active/Sporty,2,2,"Poor hygiene, Smoking, None of the above"
Martin Brooks,18,Male,165 - 170 cm,Teacher,"Cars/Motorbikes, Traveling, Gym",Yes – Other pet(s),Hip-Hop/Rap,Leonard Walker,Drama,Frequently (more than 3 times a week),Team sports,Mountains,Swimming/Water sports,"Learning a new language, Skydiving or bungee jumping, Starting your own business",Gambling,It doesn't matter,"Athletic build, No strong preference",36–45,No preference,2,3,"Poor hygiene, None of the above, Smoking"
Nicole Ball,24,Female,180 - 185 cm,Other,"Cooking/Baking, Cars/Motorbikes, Hiking",Yes – Multiple types,"Classical, Pop",Stephanie Clements,Action/Adventure,Occasionally (once a week or less),"Team sports, I don't do any physical activities",Mountains,Swimming/Water sports,"Learning a new language, Running a marathon, Skydiving or bungee jumping","Prefer not to say, Gambling",It doesn't matter,No strong preference,36–45,Highly active/Sporty,4,1,Poor hygiene
Nicole Ponce,31,Non-binary,190 - 195 cm,Artist,"Traveling, Cooking/Baking",Yes – Cat(s),"Classical, Jazz/Blues, Hip-Hop/Rap",Haley Johnson,"Action/Adventure, Romance",Frequently (more than 3 times a week),Swimming/Water sports,"No strong preference, Mountains","Hiking/Outdoor adventures, Relaxing on the beach",Running a marathon,Prefer not to say,Male,Tall,18–25,Moderately active,5,3,"Smoking, Lack of ambition"
Andrea Smith,43,Non-binary,195 - 200 cm,Teacher,"Gym, Sports",No,"Jazz/Blues, Pop, Hip-Hop/Rap",Sara Sutton,Romance,I’m not very active,Team sports,No strong preference,Sightseeing/Cultural tours,"Skydiving or bungee jumping, Running a marathon","None of the above, Regular alcohol consumption",Male,"Tall, Athletic build",46+,Highly active/Sporty,5,1,"Smoking, None of the above"
Peggy Richards,36,Male,195 - 200 cm,Business,Tv shows/Movies,Yes – Other pet(s),"Classical, Hip-Hop/Rap, Rock",Eric Hughes,Romance,Regularly (2–3 times a week),Running/Jogging,Mountains,Sightseeing/Cultural tours,"Starting your own business, Learning a new language","Smoking, None of the above",Male,Tall,26–35,Moderately active,1,3,Poor hygiene
Sharon Mills,48,Female,155 - 160 cm,Student,"Music/Art, Playing musical instruments, Cars/Motorbikes, Traveling, Tv shows/Movies",Yes – Cat(s),"Jazz/Blues, Rock, Electronic",Jocelyn Taylor,Romance,Regularly (2–3 times a week),Swimming/Water sports,"Adventure travel, No strong preference",Relaxing on the beach,"Running a marathon, Skydiving or bungee jumping",Prefer not to say,Male,"Stylish/Well-groomed, Tall",No preference,Not very active,2,4,"Smoking, None of the above, Lack of ambition"
Erin Cunningham,31,Female,200+ cm,Artist,Music/Art,Yes – Cat(s),Manele,Terri Vance,"Comedy, Action/Adventure, Science Fiction/Fantasy",Frequently (more than 3 times a week),"Gym/Fitness classes, I don't do any physical activities","No strong preference, Seaside","Relaxing on the beach, Swimming/Water sports","Skydiving or bungee jumping, Running a marathon","Gambling, None of the above",Female,Athletic build,18–25,No preference,5,1,Smoking
Brandon Mann,39,Non-binary,180 - 185 cm,Healthcare,"Tv shows/Movies, Gym",Yes – Cat(s),"Classical, Rock",James Bautista,Comedy,Frequently (more than 3 times a week),Gym/Fitness classes,No strong preference,"Swimming/Water sports, Hiking/Outdoor adventures","Learning a new language, Skydiving or bungee jumping, Starting your own business","Gambling, Smoking",Prefer not to say,"No strong preference, Stylish/Well-groomed",26–35,Moderately active,3,4,"Excessive drinking, Smoking"
Matthew Bolton,22,Female,150 - 155 cm,Teacher,"Reading, Gaming",Yes – Dog(s),"Pop, Electronic",Jocelyn Roth,"Drama, Comedy",Occasionally (once a week or less),Running/Jogging,"Adventure travel, Seaside","Hiking/Outdoor adventures, Relaxing on the beach","Traveling to a new continent, Learning a new language, Skydiving or bungee jumping","Gambling, None of the above",Female,No strong preference,No preference,No preference,5,5,Excessive drinking
Jaime Saunders,33,Prefer not to say,160 - 165 cm,IT Professional,"Hiking, Gaming, Traveling, Tv shows/Movies, Cars/Motorbikes",Yes – Multiple types,"Classical, Pop",Kristen Morris,"Drama, Romance",Occasionally (once a week or less),Running/Jogging,"Adventure travel, Mountains",Swimming/Water sports,"Skydiving or bungee jumping, Traveling to a new continent",Regular alcohol consumption,Male,Tall,46+,Highly active/Sporty,1,3,"None of the above, Excessive drinking"
Rodney Miller,28,Prefer not to say,180 - 185 cm,Other,"Music/Art, Playing musical instruments, Reading",No,Pop,Jonathan Ortiz,"Romance, Comedy",Regularly (2–3 times a week),"Gym/Fitness classes, Running/Jogging","Mountains, City breaks","Swimming/Water sports, Relaxing on the beach","Starting your own business, Running a marathon",Gambling,Female,Athletic build,26–35,No preference,5,2,"Smoking, Poor hygiene, Lack of ambition"
Ms. Sara Oliver,36,Prefer not to say,150 - 155 cm,Artist,"Tv shows/Movies, Hiking","No, but I would love to",Electronic,Gloria Foster,"Action/Adventure, Comedy",Regularly (2–3 times a week),"Yoga/Pilates, Swimming/Water sports",City breaks,"Relaxing on the beach, Hiking/Outdoor adventures",Skydiving or bungee jumping,"Prefer not to say, Regular alcohol consumption",Prefer not to say,"Natural look, Athletic build",36–45,No preference,1,5,"Lack of ambition, Smoking"
Thomas Lawson,45,Male,175 - 180 cm,Teacher,"Cooking/Baking, Music/Art, Gym, Reading, Playing musical instruments",No,"Classical, Rock",Dennis Taylor,"Drama, Comedy",Occasionally (once a week or less),"Gym/Fitness classes, Yoga/Pilates",Seaside,Swimming/Water sports,"Skydiving or bungee jumping, Running a marathon, Traveling to a new continent",Regular alcohol consumption,Prefer not to say,"Natural look, Tall",18–25,Highly active/Sporty,2,1,Poor hygiene
Dr. Dominic Fernandez DVM,49,Male,190 - 195 cm,Engineer,Reading,Yes – Dog(s),Electronic,Joseph White,"Action/Adventure, Drama, Romance",Frequently (more than 3 times a week),Yoga/Pilates,Adventure travel,"Hiking/Outdoor adventures, Relaxing on the beach","Starting your own business, Skydiving or bungee jumping",None of the above,It doesn't matter,Athletic build,18–25,Highly active/Sporty,3,1,"Excessive drinking, None of the above"
Michael Rubio,37,Prefer not to say,150 - 155 cm,Business,Cooking/Baking,Yes – Cat(s),Rock,Nicole Neal,"Action/Adventure, Science Fiction/Fantasy",Regularly (2–3 times a week),Swimming/Water sports,Mountains,"Hiking/Outdoor adventures, Relaxing on the beach","Learning a new language, Traveling to a new continent, Starting your own business",Smoking,Female,Natural look,No preference,Highly active/Sporty,3,2,"None of the above, Lack of ambition"
Jeffrey Villarreal,40,Non-binary,190 - 195 cm,Engineer,"Socializing, Gaming, Gym, Tv shows/Movies","No, but I would love to",Jazz/Blues,Spencer Reyes,"Romance, Comedy, Horror/Thriller",Frequently (more than 3 times a week),Running/Jogging,"No strong preference, Countryside",Hiking/Outdoor adventures,Skydiving or bungee jumping,"Smoking, Gambling",Male,Tall,18–25,Moderately active,2,1,"Poor hygiene, Disrespectful behavior"
Paul Combs,22,Prefer not to say,150 - 155 cm,Artist,"Traveling, Reading",No,"Electronic, Manele, Rock",Darlene Watts,Action/Adventure,Occasionally (once a week or less),"Team sports, Swimming/Water sports","Seaside, No strong preference",Relaxing on the beach,"Learning a new language, Skydiving or bungee jumping","Smoking, None of the above",Prefer not to say,Stylish/Well-groomed,No preference,Highly active/Sporty,2,1,"Smoking, Excessive drinking, Lack of ambition"
Tracy Williams,44,Male,200+ cm,Engineer,"Sports, Gaming, Socializing","No, but I would love to",Manele,Joseph Murphy,"Action/Adventure, Drama, Science Fiction/Fantasy",Occasionally (once a week or less),Yoga/Pilates,"Adventure travel, Mountains","Sightseeing/Cultural tours, Swimming/Water sports","Skydiving or bungee jumping, Traveling to a new continent, Running a marathon","Gambling, None of the above",Female,"Athletic build, Tall",26–35,No preference,1,2,"Poor hygiene, None of the above, Lack of ambition"
Christopher Wood,32,Male,160 - 165 cm,Engineer,"Sports, Cars/Motorbikes, Reading, Tv shows/Movies","No, but I would love to",Jazz/Blues,Anthony Ramirez,Science Fiction/Fantasy,Regularly (2–3 times a week),"Gym/Fitness classes, I don't do any physical activities","City breaks, No strong preference","Hiking/Outdoor adventures, Swimming/Water sports","Starting your own business, Traveling to a new continent","Gambling, Prefer not to say",It doesn't matter,"Natural look, Tall",18–25,Not very active,3,1,Excessive drinking
Michele Chavez,29,Prefer not to say,190 - 195 cm,Engineer,"Socializing, Gym, Reading, Gaming, Music/Art",Yes – Other pet(s),"Electronic, Rock, Classical",Angela Bradshaw,Action/Adventure,I’m not very active,Yoga/Pilates,"Adventure travel, Seaside","Sightseeing/Cultural tours, Hiking/Outdoor adventures",Skydiving or bungee jumping,Gambling,It doesn't matter,Stylish/Well-groomed,46+,Highly active/Sporty,5,4,"Excessive drinking, Smoking"
Michael Foley,49,Non-binary,170 - 175 cm,Artist,"Reading, Cooking/Baking, Music/Art","No, but I would love to",Rock,William Schwartz,"Science Fiction/Fantasy, Comedy",Occasionally (once a week or less),"I don't do any physical activities, Swimming/Water sports",Countryside,Relaxing on the beach,Starting your own business,None of the above,Male,"Tall, Stylish/Well-groomed",No preference,Highly active/Sporty,2,2,"Excessive drinking, Disrespectful behavior"
Desiree Wright,46,Male,200+ cm,IT Professional,"Socializing, Gaming",Yes – Multiple types,"Classical, Jazz/Blues, Rock",Heidi Estrada,"Comedy, Horror/Thriller",Frequently (more than 3 times a week),Running/Jogging,Seaside,Relaxing on the beach,"Running a marathon, Learning a new language, Skydiving or bungee jumping",Regular alcohol consumption,Female,"Tall, Athletic build",26–35,Moderately active,2,1,"Lack of ambition, None of the above, Excessive drinking"
Sydney Harris,23,Prefer not to say,180 - 185 cm,Other,"Gaming, Music/Art",Yes – Multiple types,"Jazz/Blues, Manele, Classical",Hannah Wilson,Drama,Regularly (2–3 times a week),Gym/Fitness classes,"Countryside, Mountains","Hiking/Outdoor adventures, Relaxing on the beach","Skydiving or bungee jumping, Starting your own business","Prefer not to say, Gambling",It doesn't matter,"Tall, Natural look",No preference,Moderately active,3,5,"Excessive drinking, Disrespectful behavior, Smoking"
Kenneth Beck,36,Prefer not to say,175 - 180 cm,Engineer,"Cooking/Baking, Playing musical instruments",Yes – Multiple types,Jazz/Blues,Crystal Ward,Science Fiction/Fantasy,Regularly (2–3 times a week),Swimming/Water sports,Countryside,Relaxing on the beach,"Skydiving or bungee jumping, Starting your own business","None of the above, Prefer not to say",Male,Athletic build,46+,Highly active/Sporty,5,3,Smoking
Jamie Thomas,36,Male,185 - 190 cm,Other,Cooking/Baking,No,"Pop, Hip-Hop/Rap, Manele",Darren Thomas,"Drama, Action/Adventure",Frequently (more than 3 times a week),"Team sports, Gym/Fitness classes","No strong preference, Seaside",Relaxing on the beach,"Traveling to a new continent, Skydiving or bungee jumping",Smoking,Male,"Natural look, Tall",18–25,Moderately active,5,3,Disrespectful behavior
Paul Warren,32,Non-binary,155 - 160 cm,Other,"Sports, Playing musical instruments, Hiking, Cooking/Baking",Yes – Other pet(s),"Jazz/Blues, Classical",Craig Ortiz,Action/Adventure,Occasionally (once a week or less),"Swimming/Water sports, Gym/Fitness classes","Seaside, Countryside","Hiking/Outdoor adventures, Relaxing on the beach",Learning a new language,"Regular alcohol consumption, Gambling",It doesn't matter,"No strong preference, Tall",No preference,Highly active/Sporty,5,2,"None of the above, Smoking, Lack of ambition"
Kyle Small DDS,49,Prefer not to say,190 - 195 cm,Other,"Traveling, Sports",Yes – Cat(s),Rock,Jeffrey Meyers,Horror/Thriller,I’m not very active,Running/Jogging,Countryside,"Sightseeing/Cultural tours, Relaxing on the beach","Running a marathon, Skydiving or bungee jumping, Traveling to a new continent",Smoking,Prefer not to say,"Tall, No strong preference",No preference,Not very active,1,1,Lack of ambition
Melissa Patel,30,Female,165 - 170 cm,Other,"Sports, Gym, Music/Art",Yes – Cat(s),"Pop, Manele",Michael Shelton,Action/Adventure,I’m not very active,Swimming/Water sports,"No strong preference, Adventure travel","Sightseeing/Cultural tours, Relaxing on the beach","Skydiving or bungee jumping, Traveling to a new continent",Smoking,Female,Stylish/Well-groomed,18–25,Moderately active,1,2,"None of the above, Smoking, Disrespectful behavior"
Jeffrey Harris,32,Non-binary,200+ cm,Business,"Reading, Gym, Hiking, Cooking/Baking",Yes – Multiple types,"Pop, Jazz/Blues, Rock",Michelle Collins,Drama,I’m not very active,Swimming/Water sports,Mountains,Relaxing on the beach,Traveling to a new continent,Gambling,Male,Tall,18–25,Highly active/Sporty,4,4,"Poor hygiene, Lack of ambition, Excessive drinking"
Rebecca Crosby,26,Prefer not to say,150 - 155 cm,Business,"Sports, Hiking, Reading, Playing musical instruments",Yes – Cat(s),Rock,Sherry Wright,Horror/Thriller,Regularly (2–3 times a week),Gym/Fitness classes,No strong preference,Relaxing on the beach,"Starting your own business, Skydiving or bungee jumping","Gambling, Regular alcohol consumption",It doesn't matter,Tall,26–35,Highly active/Sporty,1,3,Excessive drinking
Carol Monroe,45,Non-binary,175 - 180 cm,Engineer,"Music/Art, Traveling",No,Rock,April Morgan,"Action/Adventure, Comedy, Romance",Frequently (more than 3 times a week),"Yoga/Pilates, Swimming/Water sports",Countryside,Sightseeing/Cultural tours,Skydiving or bungee jumping,"Smoking, Prefer not to say",It doesn't matter,"Tall, Stylish/Well-groomed",No preference,Not very active,2,2,"Lack of ambition, Disrespectful behavior, Smoking"
Tony Grimes,32,Non-binary,155 - 160 cm,Teacher,"Tv shows/Movies, Traveling, Cooking/Baking, Gym, Sports",Yes – Cat(s),"Pop, Rock, Electronic",Abigail Sanchez,"Comedy, Science Fiction/Fantasy",Frequently (more than 3 times a week),Gym/Fitness classes,"Seaside, Adventure travel","Hiking/Outdoor adventures, Swimming/Water sports",Skydiving or bungee jumping,Regular alcohol consumption,Prefer not to say,"Natural look, No strong preference",36–45,No preference,5,5,"Disrespectful behavior, Lack of ambition"
Andrew Cross,47,Non-binary,170 - 175 cm,Teacher,Reading,Yes – Cat(s),"Electronic, Jazz/Blues, Manele",Michelle Simpson,"Action/Adventure, Horror/Thriller, Science Fiction/Fantasy",Occasionally (once a week or less),Team sports,"Adventure travel, Mountains",Hiking/Outdoor adventures,"Skydiving or bungee jumping, Learning a new language","Gambling, Regular alcohol consumption",It doesn't matter,"Tall, Natural look",18–25,No preference,2,2,Disrespectful behavior
Ashley Peterson,26,Prefer not to say,185 - 190 cm,Engineer,"Socializing, Cars/Motorbikes, Cooking/Baking, Music/Art, Hiking","No, but I would love to","Rock, Manele, Pop",Richard Kelley,"Science Fiction/Fantasy, Comedy",Regularly (2–3 times a week),"Running/Jogging, I don't do any physical activities",Seaside,Relaxing on the beach,"Skydiving or bungee jumping, Running a marathon","Smoking, Prefer not to say",Prefer not to say,"Natural look, No strong preference",46+,Moderately active,1,1,"Excessive drinking, Lack of ambition, Disrespectful behavior"
Matthew Clark,27,Female,190 - 195 cm,Student,"Gym, Cooking/Baking, Tv shows/Movies",Yes – Cat(s),Manele,Ruben Smith,"Action/Adventure, Comedy",Frequently (more than 3 times a week),"Swimming/Water sports, Gym/Fitness classes","Adventure travel, Seaside","Relaxing on the beach, Swimming/Water sports","Traveling to a new continent, Starting your own business, Learning a new language","Regular alcohol consumption, Smoking",Female,Stylish/Well-groomed,No preference,Moderately active,2,2,"Lack of ambition, Excessive drinking, None of the above"
Christine Nelson,27,Male,185 - 190 cm,Business,"Cars/Motorbikes, Cooking/Baking",Yes – Dog(s),Pop,Aaron Kaufman,"Horror/Thriller, Romance, Comedy",Regularly (2–3 times a week),Gym/Fitness classes,No strong preference,"Relaxing on the beach, Hiking/Outdoor adventures","Starting your own business, Learning a new language","Regular alcohol consumption, Gambling",Male,"Natural look, Tall",18–25,Not very active,5,5,"None of the above, Poor hygiene, Disrespectful behavior"
Chris Barnes,48,Female,200+ cm,Student,Traveling,Yes – Cat(s),"Hip-Hop/Rap, Electronic, Jazz/Blues",Michael Butler,"Romance, Comedy",Occasionally (once a week or less),"Gym/Fitness classes, Running/Jogging",No strong preference,Swimming/Water sports,"Starting your own business, Skydiving or bungee jumping",None of the above,It doesn't matter,"Natural look, No strong preference",46+,Not very active,4,1,None of the above
Kim Thompson,24,Prefer not to say,185 - 190 cm,Other,Tv shows/Movies,Yes – Dog(s),"Classical, Jazz/Blues",Tyler Rosales,Comedy,Frequently (more than 3 times a week),"Swimming/Water sports, Yoga/Pilates",Adventure travel,"Swimming/Water sports, Sightseeing/Cultural tours","Traveling to a new continent, Skydiving or bungee jumping, Running a marathon",None of the above,Female,"Athletic build, Stylish/Well-groomed",No preference,Not very active,1,2,"Poor hygiene, Lack of ambition"
Earl Stewart,25,Non-binary,185 - 190 cm,Healthcare,"Gym, Music/Art",Yes – Other pet(s),"Hip-Hop/Rap, Rock",Matthew Dalton,Drama,Frequently (more than 3 times a week),"Yoga/Pilates, Team sports",No strong preference,Sightseeing/Cultural tours,"Running a marathon, Learning a new language",Prefer not to say,Male,Tall,No preference,Moderately active,2,3,"Smoking, Poor hygiene, Excessive drinking"
Ian Calderon,42,Female,160 - 165 cm,Business,"Music/Art, Playing musical instruments",No,Pop,Lisa Robinson,"Drama, Romance",Frequently (more than 3 times a week),Yoga/Pilates,Seaside,"Swimming/Water sports, Relaxing on the beach","Running a marathon, Skydiving or bungee jumping","Regular alcohol consumption, Gambling",Prefer not to say,"No strong preference, Athletic build",18–25,No preference,5,1,Lack of ambition
Melissa Roth,27,Non-binary,160 - 165 cm,IT Professional,"Gaming, Cars/Motorbikes, Cooking/Baking",No,"Jazz/Blues, Rock, Manele",Daniel Avila,Drama,I’m not very active,Team sports,Seaside,Sightseeing/Cultural tours,"Skydiving or bungee jumping, Traveling to a new continent, Running a marathon","Prefer not to say, Gambling",It doesn't matter,No strong preference,No preference,Highly active/Sporty,2,4,"Excessive drinking, Poor hygiene, Disrespectful behavior"
Janice Paul,44,Prefer not to say,185 - 190 cm,IT Professional,Hiking,Yes – Other pet(s),"Rock, Hip-Hop/Rap",Jeffrey Maddox,Comedy,Regularly (2–3 times a week),Team sports,Mountains,"Swimming/Water sports, Sightseeing/Cultural tours","Running a marathon, Starting your own business",Prefer not to say,Male,"No strong preference, Natural look",36–45,Not very active,3,4,"Poor hygiene, Lack of ambition, Smoking"
Melissa Price,24,Male,170 - 175 cm,Teacher,Gaming,"No, but I would love to","Jazz/Blues, Electronic",Kevin Perkins,"Romance, Action/Adventure, Drama",Occasionally (once a week or less),Swimming/Water sports,"Adventure travel, No strong preference","Swimming/Water sports, Hiking/Outdoor adventures","Learning a new language, Running a marathon",Gambling,Female,"No strong preference, Athletic build",18–25,Moderately active,4,5,"Excessive drinking, None of the above, Smoking"
Amanda Lowe,49,Prefer not to say,185 - 190 cm,Teacher,"Gaming, Tv shows/Movies, Cars/Motorbikes",Yes – Multiple types,"Manele, Electronic",Edward May,"Comedy, Action/Adventure",Frequently (more than 3 times a week),Running/Jogging,City breaks,Relaxing on the beach,Starting your own business,Regular alcohol consumption,Prefer not to say,"Tall, Natural look",26–35,Highly active/Sporty,3,5,Smoking
Joy Newman,19,Prefer not to say,195 - 200 cm,Engineer,"Cars/Motorbikes, Gym","No, but I would love to","Jazz/Blues, Electronic, Rock",Sandy Young,"Comedy, Action/Adventure, Horror/Thriller",Frequently (more than 3 times a week),"I don't do any physical activities, Swimming/Water sports",Seaside,Hiking/Outdoor adventures,Learning a new language,Prefer not to say,Male,"Athletic build, No strong preference",46+,Moderately active,2,1,"Lack of ambition, Excessive drinking, Smoking"
Ryan Allen,46,Non-binary,195 - 200 cm,Business,Hiking,Yes – Cat(s),Classical,Karen Monroe,"Comedy, Horror/Thriller",I’m not very active,"Swimming/Water sports, Gym/Fitness classes","Seaside, Adventure travel","Swimming/Water sports, Sightseeing/Cultural tours","Traveling to a new continent, Running a marathon","Regular alcohol consumption, Smoking",Prefer not to say,Athletic build,46+,Highly active/Sporty,2,2,"Lack of ambition, Poor hygiene, Smoking"
Richard Nelson,41,Non-binary,185 - 190 cm,Healthcare,"Sports, Hiking, Reading",Yes – Dog(s),"Rock, Manele, Electronic",Nicholas Webb,Comedy,Occasionally (once a week or less),Gym/Fitness classes,No strong preference,"Swimming/Water sports, Relaxing on the beach",Skydiving or bungee jumping,Regular alcohol consumption,Female,Athletic build,26–35,No preference,4,2,"None of the above, Lack of ambition, Poor hygiene"
Christopher Simmons,26,Non-binary,200+ cm,Healthcare,"Sports, Cars/Motorbikes, Playing musical instruments, Reading",Yes – Other pet(s),Hip-Hop/Rap,Michael Chavez,Drama,Frequently (more than 3 times a week),Gym/Fitness classes,"Adventure travel, No strong preference","Swimming/Water sports, Relaxing on the beach","Running a marathon, Learning a new language","Gambling, Smoking",Prefer not to say,"Stylish/Well-groomed, No strong preference",18–25,No preference,1,2,"Lack of ambition, None of the above, Poor hygiene"
Bobby Gallegos,24,Prefer not to say,150 - 155 cm,IT Professional,"Sports, Hiking, Gaming",Yes – Other pet(s),"Hip-Hop/Rap, Rock, Manele",Dawn Miller,Romance,Occasionally (once a week or less),"Gym/Fitness classes, Running/Jogging",Seaside,Relaxing on the beach,"Running a marathon, Skydiving or bungee jumping","Regular alcohol consumption, Smoking",Prefer not to say,Athletic build,36–45,No preference,1,1,"Smoking, Poor hygiene, Lack of ambition"
Richard Smith,21,Female,165 - 170 cm,Teacher,"Reading, Tv shows/Movies, Music/Art, Sports",Yes – Cat(s),Manele,Joshua Jensen,"Action/Adventure, Romance",Occasionally (once a week or less),Gym/Fitness classes,"Adventure travel, Seaside",Relaxing on the beach,"Skydiving or bungee jumping, Starting your own business",Gambling,Male,"Stylish/Well-groomed, Natural look",No preference,Highly active/Sporty,3,3,"Smoking, Lack of ambition"
Robert Woodard,20,Prefer not to say,155 - 160 cm,Engineer,"Tv shows/Movies, Music/Art",Yes – Dog(s),"Rock, Pop",James Mendoza,"Action/Adventure, Drama, Horror/Thriller",Frequently (more than 3 times a week),Swimming/Water sports,Countryside,"Relaxing on the beach, Hiking/Outdoor adventures","Starting your own business, Traveling to a new continent","Smoking, Prefer not to say",Male,"Tall, Athletic build",46+,Moderately active,3,2,"Lack of ambition, Poor hygiene, Smoking"
Donald Gomez,37,Male,155 - 160 cm,Other,"Music/Art, Socializing, Traveling, Reading",Yes – Cat(s),"Pop, Rock, Hip-Hop/Rap",Kimberly Osborn,"Action/Adventure, Horror/Thriller, Science Fiction/Fantasy",Frequently (more than 3 times a week),"Swimming/Water sports, I don't do any physical activities","Adventure travel, Seaside",Hiking/Outdoor adventures,"Starting your own business, Learning a new language, Skydiving or bungee jumping","Gambling, Prefer not to say",Female,Stylish/Well-groomed,46+,Highly active/Sporty,4,2,"None of the above, Excessive drinking"
Robin Ellis,49,Prefer not to say,180 - 185 cm,Student,Reading,Yes – Cat(s),"Classical, Rock",Nathan West,"Horror/Thriller, Action/Adventure, Romance",I’m not very active,"Team sports, Running/Jogging",Mountains,"Sightseeing/Cultural tours, Hiking/Outdoor adventures","Learning a new language, Skydiving or bungee jumping","Regular alcohol consumption, Prefer not to say",Prefer not to say,Tall,No preference,Moderately active,1,2,Lack of ambition
Heather Costa,24,Male,160 - 165 cm,Engineer,Gym,Yes – Other pet(s),"Hip-Hop/Rap, Classical",Peter Diaz,"Comedy, Drama",Occasionally (once a week or less),Running/Jogging,Countryside,"Swimming/Water sports, Hiking/Outdoor adventures","Running a marathon, Starting your own business","Smoking, Gambling",Female,Tall,36–45,Moderately active,1,3,Poor hygiene
Donald Jones,32,Female,195 - 200 cm,Business,"Hiking, Gym, Tv shows/Movies, Music/Art",Yes – Other pet(s),"Pop, Classical, Hip-Hop/Rap",Emily Davis,Romance,Occasionally (once a week or less),"Gym/Fitness classes, Team sports",Countryside,Hiking/Outdoor adventures,"Starting your own business, Learning a new language",Prefer not to say,Prefer not to say,Tall,36–45,Moderately active,4,1,"Lack of ambition, Disrespectful behavior"
Raymond Coleman,26,Prefer not to say,150 - 155 cm,Healthcare,Traveling,Yes – Dog(s),"Pop, Classical, Hip-Hop/Rap",Susan Daugherty,"Horror/Thriller, Romance",Frequently (more than 3 times a week),"Running/Jogging, Swimming/Water sports","Seaside, No strong preference",Hiking/Outdoor adventures,"Skydiving or bungee jumping, Traveling to a new continent","Smoking, Prefer not to say",It doesn't matter,Athletic build,18–25,No preference,1,5,Smoking
David Larsen,47,Female,170 - 175 cm,Engineer,"Socializing, Tv shows/Movies",Yes – Dog(s),Electronic,Jonathan Dunn,Action/Adventure,I’m not very active,Team sports,"No strong preference, Seaside",Hiking/Outdoor adventures,"Skydiving or bungee jumping, Learning a new language, Traveling to a new continent","None of the above, Gambling",Female,Athletic build,18–25,Moderately active,5,5,"Excessive drinking, Poor hygiene, None of the above"
Stephanie Walker,30,Non-binary,180 - 185 cm,Other,"Hiking, Traveling, Sports",Yes – Multiple types,"Jazz/Blues, Manele, Pop",Kevin Torres,"Action/Adventure, Science Fiction/Fantasy",Regularly (2–3 times a week),"Yoga/Pilates, I don't do any physical activities",Adventure travel,Sightseeing/Cultural tours,"Learning a new language, Running a marathon, Starting your own business","Gambling, Regular alcohol consumption",It doesn't matter,Tall,26–35,Moderately active,5,2,Disrespectful behavior
Kerry Henderson,22,Prefer not to say,170 - 175 cm,Teacher,"Traveling, Tv shows/Movies, Hiking, Gaming, Music/Art","No, but I would love to",Classical,Heather Alvarado,"Science Fiction/Fantasy, Action/Adventure, Comedy",Occasionally (once a week or less),"Gym/Fitness classes, I don't do any physical activities",City breaks,Sightseeing/Cultural tours,Traveling to a new continent,"None of the above, Prefer not to say",Prefer not to say,"Natural look, Athletic build",No preference,No preference,2,3,"None of the above, Disrespectful behavior"
Keith Nguyen,36,Non-binary,190 - 195 cm,Healthcare,"Cars/Motorbikes, Gym",Yes – Dog(s),"Manele, Jazz/Blues, Hip-Hop/Rap",Sarah Turner,"Drama, Action/Adventure",Occasionally (once a week or less),Yoga/Pilates,Countryside,"Swimming/Water sports, Hiking/Outdoor adventures","Starting your own business, Traveling to a new continent","Regular alcohol consumption, Prefer not to say",Female,"No strong preference, Stylish/Well-groomed",26–35,Not very active,2,3,Disrespectful behavior
Taylor Thomas,21,Prefer not to say,165 - 170 cm,Other,"Gaming, Cooking/Baking, Socializing",Yes – Dog(s),Rock,Joe Brown,"Drama, Action/Adventure, Science Fiction/Fantasy",I’m not very active,Running/Jogging,"Countryside, City breaks","Relaxing on the beach, Swimming/Water sports","Traveling to a new continent, Starting your own business, Skydiving or bungee jumping",Prefer not to say,Female,"Athletic build, Natural look",18–25,Highly active/Sporty,1,2,"None of the above, Excessive drinking"
Debra Hunt,37,Male,160 - 165 cm,Artist,"Socializing, Gaming, Hiking, Cooking/Baking",Yes – Cat(s),"Pop, Electronic",Cesar Jackson,Drama,Occasionally (once a week or less),Gym/Fitness classes,Countryside,"Relaxing on the beach, Sightseeing/Cultural tours",Running a marathon,"Gambling, Prefer not to say",Male,Tall,No preference,Not very active,1,3,"None of the above, Excessive drinking"
